SEASON,TEAM_NAME,GAME_DATE,MATCHUP,WIN,TEAM_PTS_AVG,TEAM_AST_AVG,TEAM_REB_AVG
2202,Atlanta Hawks,2021-04-25,ATL vs. MIL,1,,,
2202,Atlanta Hawks,2021-04-23,ATL vs. MIA,1,,,
2202,Atlanta Hawks,2021-04-21,ATL @ NYK,0,,,
2202,Atlanta Hawks,2021-04-20,ATL vs. ORL,1,,,
2202,Atlanta Hawks,2021-04-18,ATL vs. IND,1,,,
2202,Atlanta Hawks,2021-04-15,ATL vs. MIL,0,,,
2202,Atlanta Hawks,2021-04-13,ATL @ TOR,1,,,
2202,Atlanta Hawks,2021-04-11,ATL @ CHA,1,,,
2202,Atlanta Hawks,2021-04-09,ATL vs. CHI,1,,,
2202,Atlanta Hawks,2021-04-07,ATL vs. MEM,0,,,
2202,Atlanta Hawks,2021-04-06,ATL vs. NOP,1,,,
2202,Atlanta Hawks,2021-04-04,ATL vs. GSW,1,,,
2202,Atlanta Hawks,2021-04-02,ATL @ NOP,1,,,
2202,Atlanta Hawks,2021-04-01,ATL @ SAS,1,,,
2202,Atlanta Hawks,2021-03-30,ATL @ PHX,0,,,
2202,Atlanta Hawks,2021-03-28,ATL @ DEN,0,,,
2202,Atlanta Hawks,2021-03-26,ATL @ GSW,1,,,
2202,Atlanta Hawks,2021-03-24,ATL @ SAC,0,,,
2202,Atlanta Hawks,2021-03-22,ATL @ LAC,0,,,
2202,Atlanta Hawks,2021-03-20,ATL @ LAL,1,,,
2202,Atlanta Hawks,2021-03-18,ATL vs. OKC,1,,,
2202,Atlanta Hawks,2021-03-16,ATL @ HOU,1,,,
2202,Atlanta Hawks,2021-03-14,ATL vs. CLE,1,,,
2202,Atlanta Hawks,2021-03-13,ATL vs. SAC,1,,,
2202,Atlanta Hawks,2021-03-11,ATL @ TOR,1,,,
2202,Atlanta Hawks,2021-03-03,ATL @ ORL,1,,,
2202,Atlanta Hawks,2021-03-02,ATL @ MIA,1,,,
2202,Atlanta Hawks,2021-02-28,ATL @ MIA,0,,,
2202,Atlanta Hawks,2021-02-26,ATL @ OKC,0,,,
2202,Atlanta Hawks,2021-02-24,ATL vs. BOS,1,,,
2202,Atlanta Hawks,2021-02-23,ATL @ CLE,0,,,
2202,Atlanta Hawks,2021-02-21,ATL vs. DEN,1,,,
2202,Atlanta Hawks,2021-02-19,ATL @ BOS,0,,,
2202,Atlanta Hawks,2021-02-17,ATL @ BOS,1,,,
